"Call..Failure","Complains","Subscription..Length","Charge..Amount","Seconds.of.Use","Frequency.of.use","Frequency.of.SMS","Distinct.Called.Numbers","Age.Group","Tariff.Plan","Status","Age","Customer.Value","Churn","Seconds.of.Use.Interval"
6,0,1,6,5241,230,128,39,3,2,1,32,594.305829545719,1,"[0,4e+04]"
19,1,29,5,4695,227,134,6,2,2,1,18,3802.08371898264,0,"[0,4e+04]"
28,1,50,3,11530,161,144,4,4,1,1,30,3275.52182479095,1,"[0,4e+04]"
14,1,34,6,14312,282,126,46,2,2,1,65,1161.46620570521,1,"[0,4e+04]"
10,1,51,8,18972,262,225,41,4,2,2,51,4869.52192777806,1,"[0,4e+04]"
7,1,13,9,14318,130,426,23,4,2,2,47,2851.77409575616,1,"[0,4e+04]"
28,1,54,9,18166,224,70,47,3,2,2,36,4534.38987698568,1,"[0,4e+04]"
20,0,1,6,19904,257,272,40,4,2,1,19,4295.46567103493,0,"[0,4e+04]"
6,1,34,0,11324,233,186,6,3,1,1,61,1665.62730261306,1,"[0,4e+04]"
25,0,29,9,3218,23,2,10,1,2,1,29,2679.78430993407,0,"[0,4e+04]"
18,1,48,8,4016,270,284,8,2,1,2,57,2156.84149702336,0,"[0,4e+04]"
22,1,47,3,2837,94,21,48,3,2,2,61,3545.38785130038,1,"[0,4e+04]"
10,0,13,2,16312,141,165,29,2,1,2,41,2940.21002271714,0,"[0,4e+04]"
10,0,48,3,7034,181,309,40,5,1,1,28,3924.26766518621,0,"[0,4e+04]"
23,0,49,3,7309,205,362,2,1,1,1,19,58.7612979899227,0,"[0,4e+04]"
20,0,53,9,14379,80,476,21,5,2,2,18,3438.96630707279,0,"[0,4e+04]"
3,1,29,1,4239,273,497,39,5,2,1,45,1595.32577609827,1,"[0,4e+04]"
7,0,39,0,12128,275,433,19,4,1,2,21,1121.11069944709,0,"[0,4e+04]"
23,1,24,9,15856,207,245,31,4,2,2,58,4006.20683179336,0,"[0,4e+04]"
2,0,26,0,9611,295,233,47,5,2,1,47,446.106055940927,1,"[0,4e+04]"
21,1,17,7,4150,38,324,6,4,1,2,24,1142.30022549571,1,"[0,4e+04]"
20,1,7,1,11109,287,157,6,2,2,2,39,1018.67170549889,1,"[0,4e+04]"
1,1,13,9,1446,123,150,19,4,1,2,43,2099.12722529851,1,"[0,4e+04]"
23,1,5,4,11936,282,212,24,5,2,2,46,1611.6839227863,1,"[0,4e+04]"
11,1,26,3,11036,179,375,44,4,1,2,42,3602.34158554835,0,"[0,4e+04]"
29,1,49,7,6468,96,217,34,4,2,1,27,3496.84940300738,1,"[0,4e+04]"
5,0,3,1,14021,190,245,43,3,2,2,37,1627.3544555302,0,"[0,4e+04]"
1,1,7,9,4175,73,302,23,3,1,1,31,2184.90388072898,1,"[0,4e+04]"
27,0,58,8,15390,272,404,39,5,1,2,50,1039.54092089886,0,"[0,4e+04]"
20,0,49,6,5080,48,275,12,2,2,1,22,3354.17450248135,0,"[0,4e+04]"
0,1,39,6,15471,209,150,47,1,1,1,62,1981.11370066288,1,"[0,4e+04]"
11,0,53,0,14893,115,195,38,1,1,1,23,664.130522211077,0,"[0,4e+04]"
25,1,1,1,17248,22,404,3,5,1,2,39,636.327459557556,1,"[0,4e+04]"
21,0,49,3,16009,97,20,11,2,1,1,34,1611.60339210588,0,"[0,4e+04]"
28,1,17,3,6217,189,256,16,2,1,2,32,3736.62514318098,1,"[0,4e+04]"
