Call..Failure,Complains,Subscription..Length,Charge..Amount,Seconds.of.Use,Frequency.of.use,Frequency.of.SMS,Distinct.Called.Numbers,Age.Group,Tariff.Plan,Status,Age,Customer.Value,Churn
6,1,1,4,8494,299,16,66,3,2,2,47,409.73,0
3,1,47,1,4955,274,49,31,3,2,1,40,78.2,0
7,1,28,3,4705,208,31,68,2,1,1,27,386.35,0
4,1,53,6,5038,167,6,98,5,1,1,53,222.26,1
6,1,42,6,1713,216,18,83,1,2,2,48,353.89,1
9,1,7,2,8260,183,6,37,4,1,1,60,73.71,1
2,0,2,4,8011,193,4,73,5,2,1,39,464.32,0
6,0,42,0,9879,274,39,24,3,2,1,60,395.32,1
7,1,24,9,9521,255,20,77,5,1,1,60,113.06,1
4,1,4,9,2746,45,47,44,1,2,1,55,148.45,0
3,1,44,9,2207,268,47,94,3,2,2,64,339.8,0
7,0,19,0,1784,28,46,83,2,2,1,19,464.7,1
7,0,26,4,3696,32,6,41,4,2,1,40,250.62,0
2,1,11,9,8073,113,36,74,4,1,1,52,268.53,0
5,1,40,8,6036,250,22,51,3,1,1,54,157.01,1
4,0,50,0,8127,213,10,42,2,2,2,49,222.35,1
1,0,43,0,4718,262,9,78,1,2,2,60,178.71,1
7,0,11,3,6775,151,20,40,4,2,1,29,207.76,0
5,0,45,3,8910,152,40,48,3,2,1,52,59.27,0
1,1,3,1,3693,280,32,84,4,2,1,58,68.48,0
4,0,12,8,1625,119,19,4,2,1,2,20,356.31,0
0,0,3,8,4708,17,32,60,1,1,2,51,356.81,0
9,1,42,1,7859,78,39,39,2,1,1,55,198.6,0
5,0,27,8,9953,199,34,5,5,2,2,41,448.46,1
8,0,49,5,8692,188,33,96,2,2,2,55,169.75,1
0,0,54,7,7398,72,35,6,2,2,2,34,228.1,0
9,1,2,9,8252,77,26,14,4,1,2,57,379.12,1
2,0,49,3,2555,215,18,70,2,2,2,18,384.61,1
6,1,16,1,9867,15,42,78,3,1,2,25,437.52,1
3,1,2,1,5187,128,4,12,4,2,1,32,63.08,0
8,0,54,8,8767,40,28,62,4,2,2,67,132.69,1
