Call..Failure,Complains,Subscription..Length,Charge..Amount,Seconds.of.Use,Frequency.of.use,Frequency.of.SMS,Distinct.Called.Numbers,Age.Group,Tariff.Plan,Status,Age,Customer.Value,Churn
6,0,1,6,5241,230,128,39,3,2,1,32,594.3058295457188,1
19,1,29,5,4695,227,134,6,2,2,1,18,3802.0837189826375,0
28,1,50,3,11530,161,144,4,4,1,1,30,3275.5218247909456,1
14,1,34,6,14312,282,126,46,2,2,1,65,1161.466205705214,1
10,1,51,8,18972,262,225,41,4,2,2,51,4869.521927778055,1
7,1,13,9,14318,130,426,23,4,2,2,47,2851.7740957561555,1
28,1,54,9,18166,224,70,47,3,2,2,36,4534.389876985677,1
20,0,1,6,19904,257,272,40,4,2,1,19,4295.465671034932,0
6,1,34,0,11324,233,186,6,3,1,1,61,1665.627302613058,1
25,0,29,9,3218,23,2,10,1,2,1,29,2679.784309934066,0
18,1,48,8,4016,270,284,8,2,1,2,57,2156.8414970233584,0
22,1,47,3,2837,94,21,48,3,2,2,61,3545.3878513003783,1
10,0,13,2,16312,141,165,29,2,1,2,41,2940.2100227171386,0
10,0,48,3,7034,181,309,40,5,1,1,28,3924.267665186206,0
23,0,49,3,7309,205,362,2,1,1,1,19,58.76129798992269,0
20,0,53,9,14379,80,476,21,5,2,2,18,3438.966307072792,0
3,1,29,1,4239,273,497,39,5,2,1,45,1595.3257760982747,1
7,0,39,0,12128,275,433,19,4,1,2,21,1121.11069944709,0
23,1,24,9,15856,207,245,31,4,2,2,58,4006.2068317933613,0
2,0,26,0,9611,295,233,47,5,2,1,47,446.1060559409269,1
21,1,17,7,4150,38,324,6,4,1,2,24,1142.300225495706,1
20,1,7,1,11109,287,157,6,2,2,2,39,1018.6717054988909,1
1,1,13,9,1446,123,150,19,4,1,2,43,2099.1272252985095,1
23,1,5,4,11936,282,212,24,5,2,2,46,1611.683922786305,1
11,1,26,3,11036,179,375,44,4,1,2,42,3602.341585548351,0
29,1,49,7,6468,96,217,34,4,2,1,27,3496.8494030073825,1
5,0,3,1,14021,190,245,43,3,2,2,37,1627.354455530195,0
1,1,7,9,4175,73,302,23,3,1,1,31,2184.903880728976,1
27,0,58,8,15390,272,404,39,5,1,2,50,1039.540920898865,0
20,0,49,6,5080,48,275,12,2,2,1,22,3354.174502481353,0
0,1,39,6,15471,209,150,47,1,1,1,62,1981.1137006628776,1
11,0,53,0,14893,115,195,38,1,1,1,23,664.1305222110766,0
25,1,1,1,17248,22,404,3,5,1,2,39,636.3274595575563,1
21,0,49,3,16009,97,20,11,2,1,1,34,1611.6033921058774,0
28,1,17,3,6217,189,256,16,2,1,2,32,3736.6251431809787,1
11,0,43,2,5672,181,398,0,2,2,2,56,127.52168065750192,0
24,1,25,6,1502,147,16,16,3,1,1,57,1288.8734659144109,0
16,1,59,7,1410,22,50,1,5,1,1,45,812.4307944437865,1
26,1,3,1,3770,104,446,5,1,1,2,19,4782.389106528074,1
26,1,15,3,10097,162,269,43,2,1,2,35,3526.408019855132,1
9,0,29,2,4001,66,314,10,5,2,2,44,1166.1634205947307,1
27,1,53,1,19867,289,82,42,1,1,1,38,1037.302927180973,1
27,0,43,5,598,288,305,17,3,2,2,40,4290.152726936383,1
15,0,32,3,10976,45,123,39,4,2,2,24,951.1334820820655,1
14,0,26,5,19425,80,289,24,1,1,2,69,4985.2960009861345,1
29,1,16,1,6391,146,261,38,1,1,2,65,1411.5156000569984,1
29,0,25,3,16450,221,364,27,1,2,2,36,421.66357434767485,1
14,0,54,5,14908,14,48,45,4,2,2,26,3454.709470084291,0
29,0,28,4,11590,120,5,15,2,2,2,29,3048.2139629208687,0
18,1,9,2,16279,77,116,11,4,1,2,63,4999.110826807284,1
11,1,56,7,2750,294,117,40,1,2,2,47,4010.4287218598756,1
22,0,56,6,9916,240,452,28,3,1,2,24,2144.1826656661956,0
19,1,1,2,6806,17,262,22,1,2,2,19,3383.057240815418,1
24,1,29,5,6429,255,352,20,3,2,2,34,4089.2472680167602,0
2,0,57,3,8123,276,460,15,5,1,1,28,2568.6326272164756,0
4,0,22,4,18015,26,434,47,3,1,2,67,1364.3572536760578,0
18,1,16,4,6452,1,373,40,1,2,2,29,1050.5282114318481,0
6,0,41,6,17158,294,128,44,4,1,2,20,1476.4071830680718,0
20,1,51,4,15456,238,396,25,1,1,2,38,4240.343908349026,1
8,1,44,2,4019,12,170,36,1,2,2,31,1902.1618624436765,0
6,1,51,9,12419,183,26,21,5,1,1,32,1433.3207928315871,1
17,1,54,4,929,193,198,9,2,1,2,68,4029.4361389754054,0
3,1,41,6,19396,55,371,6,1,2,1,59,159.60170887271752,0
24,1,7,4,6264,229,386,8,5,2,2,58,2969.7913546517107,0
27,0,14,4,7973,27,313,24,4,1,1,27,4368.159015931358,1
13,0,29,8,9697,70,344,45,5,1,1,69,2050.418745278037,0
17,1,19,2,11136,209,96,14,5,1,2,53,1346.5908067964222,0
25,1,19,5,19203,183,487,12,3,2,1,68,2458.545347179782,1
8,1,2,0,1184,40,16,41,2,2,1,27,3587.385838460397,1
25,0,41,9,16911,259,172,45,2,1,2,34,2583.027815175997,0
20,1,45,4,916,83,461,25,4,1,1,61,38.19497312886555,0
1,0,15,7,3574,45,100,20,5,1,1,42,391.6227805400796,0
19,1,3,4,3319,158,185,22,4,2,1,44,3606.642115448507,1
27,1,11,8,17790,6,183,43,4,2,2,50,1999.756674377493,0
14,0,53,5,17625,135,437,27,2,1,2,28,3923.8791563511754,1
27,0,46,7,5206,182,214,37,2,1,2,30,3247.449570529545,0
6,1,30,9,19517,196,250,11,2,1,2,18,2907.579171609394,1
11,1,57,7,17182,171,215,23,1,1,1,48,4506.875841892056,1
28,1,40,2,17907,275,28,12,5,2,2,50,106.61036740356344,0
7,0,18,6,4928,77,101,39,4,1,1,38,775.1718069890085,0
14,0,51,6,16105,177,122,47,5,1,2,33,3121.879777459879,1
2,0,48,9,2888,26,53,1,4,2,2,56,329.1402327504772,0
13,0,2,5,2690,119,282,38,4,1,1,40,3224.8524253034566,1
16,0,32,6,4091,280,101,11,4,1,1,27,4920.605385126339,1
3,0,8,1,13960,195,116,38,4,1,2,65,4394.040494972669,0
17,1,22,8,690,276,103,13,3,1,2,50,2954.5846201271424,1
7,1,6,9,1495,17,44,29,3,1,2,39,4469.883371529811,0
3,0,12,9,11085,294,113,40,1,1,2,58,581.3407563313261,1
1,1,47,0,17276,270,342,49,2,2,2,23,2273.4708246278205,0
29,1,57,0,10720,52,30,42,4,1,1,64,2143.3805790603788,0
5,0,40,2,5873,293,163,47,5,2,2,53,1682.2379349649552,0
21,1,36,2,4503,51,464,18,3,2,1,64,1.006990671552077,1
9,0,15,0,11720,215,188,30,2,2,2,27,4455.1450930562605,0
3,0,28,6,13964,71,292,42,1,2,2,33,3888.5330507639746,1
21,1,52,3,897,27,194,49,2,1,1,30,3264.287577998944,1
28,0,57,9,17094,251,291,42,4,1,2,68,644.8342192581702,0
17,0,49,1,3695,34,374,24,2,1,1,37,1891.0256684575206,1
25,0,45,9,2686,200,260,3,4,1,1,21,4621.634986839156,0
11,0,18,4,5778,248,429,49,3,2,2,37,3084.648025347733,1
1,0,2,5,15150,98,206,12,3,2,1,39,3017.052682630125,1
9,0,13,8,16799,139,51,35,4,2,2,46,4565.632873785173,0
29,0,45,3,9663,82,48,41,5,1,2,33,2799.1686244981884,0
3,0,54,1,4180,47,5,36,3,2,2,60,2988.1162427848963,1
13,1,15,4,4262,277,378,2,5,1,2,64,1728.5784723810866,0
15,1,20,2,2515,247,393,15,4,2,2,60,1857.204646161858,0
14,1,29,1,11236,176,373,25,4,1,2,40,3428.034312070763,1
7,0,59,0,14104,51,223,39,3,2,2,47,1602.17608315656,0
13,0,42,9,6616,78,22,38,5,2,1,47,2795.5396029392505,1
22,1,29,1,17376,63,495,18,4,1,2,60,1395.983455782898,0
27,1,3,5,4370,7,144,45,3,2,1,20,830.6261897722267,0
24,1,19,7,18157,213,109,14,4,2,2,41,2272.012294693507,1
29,0,3,2,19945,24,211,31,2,1,2,66,1087.2300620705362,1
7,1,54,8,3816,255,299,48,2,2,1,54,4492.471525407704,0
20,1,14,8,1756,242,40,20,3,2,1,30,1518.0648291351645,0
15,0,40,1,2373,197,398,0,4,2,1,59,2987.0104776966054,1
12,1,59,7,2576,93,171,5,3,2,1,49,1317.2092027260196,0
17,0,55,9,4184,206,493,26,1,1,2,54,1290.0963136238324,0
14,0,4,4,2397,14,185,22,3,1,2,29,1753.1804073920393,0
20,0,59,3,12674,177,213,46,3,2,1,25,4579.372836604745,0
23,1,52,9,10326,74,305,30,2,1,2,41,1957.488691426333,1
25,1,11,4,10546,103,51,11,2,2,1,61,4106.332347120722,0
24,0,58,3,4535,293,69,20,4,1,1,33,986.4903726921648,1
27,1,31,7,14599,167,195,1,3,2,1,49,240.84771568215535,1
27,1,43,3,9168,114,446,4,3,2,1,51,3908.3896065072076,0
27,1,32,9,17118,38,441,8,4,1,1,52,2709.374487285507,1
12,1,27,5,632,272,150,19,5,2,2,49,2518.629065134607,0
8,0,30,1,13280,134,427,45,4,2,1,67,1361.029246247068,0
28,1,43,4,14746,231,108,17,2,2,1,34,361.5850742967591,1
14,0,2,5,4268,38,466,21,2,2,2,19,2414.30018166423,1
12,0,49,4,19285,290,117,7,3,1,1,43,4336.1317939968585,1
0,1,9,1,18047,46,364,33,2,1,1,61,600.1100685174293,0
24,0,28,6,15321,35,94,8,4,1,2,34,4645.854396735861,0
6,1,31,3,10207,94,255,6,3,1,2,55,1373.6454012080735,0
8,1,34,7,5591,12,43,29,4,2,2,66,2660.931464143311,1
23,0,56,6,16226,145,435,17,4,2,2,19,332.54197733290914,1
0,0,15,6,1054,64,66,26,3,2,2,25,2125.2329690132287,1
11,0,48,8,8572,227,155,15,5,2,1,63,629.4894320358175,1
7,0,25,0,13579,241,322,20,2,1,1,23,239.8689303860374,1
23,1,36,9,19466,7,205,4,1,1,1,26,4832.788467138249,0
10,1,8,5,10583,42,273,28,1,1,2,18,3650.472677320663,0
18,1,9,5,8007,243,154,46,1,2,2,22,3595.2886050683037,1
16,0,58,5,15903,180,178,36,2,2,2,56,452.7484474187604,1
7,0,58,5,9784,84,59,42,5,2,2,26,4646.752622438709,1
2,0,37,9,4261,154,73,21,4,2,2,31,2347.342575049428,1
2,1,48,6,2389,274,48,13,3,1,2,44,4261.420340287155,0
0,0,45,9,19937,22,270,18,5,1,1,26,63.00550556885387,1
26,1,39,5,13939,114,466,34,1,1,2,53,1491.0324066875346,1
4,0,32,0,11219,298,72,23,2,2,1,46,4980.235610632328,1
